uid,text,category,risk_level,source_type,origin_id
15,"임대인과 임차인은 본 임대차계약과 관련한 분쟁이 발생하는 경우, 당사자 간의 협의 또는 주택임대차분쟁조정위원회의 조정을 통해 호혜적으로 해결하기 위해 노력한다.",etc,safe,seed,21
16,중개보수는 거래 가액의 일정 요율에 따라 임대인과 임차인이 각각 부담한다.,etc,safe,seed,22
17,주택 임대차 계약과 관련하여 분쟁이 있는 경우 임대인 또는 임차인은 법원에 소를 제기하기 전에 먼저 주택임대차분쟁조정위원회에 조정을 신청한다.,etc,safe,seed,23
18,전세자금 대출이 불가능할 경우 계약금은 전액 반환한다.,deposit_return,safe,seed,26
19,임대인은 임차인의 전세보증금 반환보증 보험 가입에 필요한 절차에 적극 협조한다.,deposit_return,safe,seed,27
20,임대인은 잔금 지급일 익일까지 담보권이나 전세권 등 새로운 권리를 설정하지 않는다.,lien_rights,safe,seed,29
21,임대인은 잔금 지급일 전까지 소유권 이전 등기를 하지 않는다.,lien_rights,safe,seed,30
22,임대인은 임대차 기간 중 주택을 매도하게 될 경우 임차인에게 반드시 고지한다.,lien_rights,safe,seed,32
23,"계약 당시의 권리관계를 잔금일 익일까지 유지하며, 이를 위반할 경우 본 계약은 무효로 한다.",lien_rights,safe,seed,33
24,임대인은 잔금 납부와 동시에 해당 부동산의 담보대출을 전액 상환하고 근저당권을 말소한다.,lien_rights,safe,seed,34
25,"계약 체결 후 고지되지 않은 근저당 사실이 발견되면 임차인은 계약을 해지할 수 있고, 임대인은 지급받은 금액을 즉시 반환한다.",lien_rights,safe,seed,35
26,임대차 계약 종료 시 임대인이 통상의 손모가 아니라는 점을 입증하지 못하는 이상 임차인에게는 원상회복의무가 없다.,restoration,safe,seed,37
27,임차인이 2년 이상 거주하는 경우 도배·장판에 관하여 원상회복의무가 없다.,restoration,safe,seed,38
28,월세 연체가 2개월분에 달하는 경우에 한하여 임대인은 계약을 해지할 수 있다.,termination_renewal,safe,seed,39
29,계약 갱신 시 차임은 시세 변동을 반영하여 양측 협의로 조정한다.,termination_renewal,safe,seed,41
30,"전등, 커튼봉 등 생활소모품의 교체 비용은 임차인이 부담한다.",repair_defect,safe,seed,42
31,건물의 모든 시설물에 대한 유지 및 보수 책임은 임차인에게 있다.,repair_defect,danger,seed,44
32,퇴거 시 벽지와 장판을 새것으로 교체하여 입주 시 상태 그대로 복구한다.,restoration,danger,seed,47
33,월세 1회 연체 시 계약은 즉시 해지되며 임차인은 지체 없이 퇴거한다.,termination_renewal,danger,seed,48
34,퇴실 시 임차인은 원상복구비로 200만원을 지급한다.,restoration,danger,seed,50
35,계약 갱신 시 월세는 10% 자동 인상된다.,termination_renewal,danger,seed,51
36,주택의 유지 관리는 세입자 부담으로 한다.,repair_defect,danger,seed,52
37,"관리비는 월 10만원으로 하며 인터넷, 유선방송, 수도요금을 포함한다. 전기요금과 가스요금은 임차인이 별도 부담한다.",fees_utilities,safe,seed,53
38,퇴거 시 임차인은 전문 업체 수준의 청소를 직접 하거나 청소비 10만원을 지불한다.,restoration,caution,seed,54
39,임차인은 본 주택에 전입신고를 하지 않기로 한다.,lien_rights,danger,seed,55
40,관리비는 별도로 한다.,fees_utilities,caution,seed,56
41,"임대인이 요구하는 경우 임차인은 제소전화해 조서 작성에 협조하며, 그 비용은 임차인이 부담한다.",etc,danger,seed,57
42,보증금은 임차인의 명도 완료와 시설물 상태 확인 후 3일 이내에 반환한다.,deposit_return,caution,seed,58
43,보증금은 퇴거 후 관리비 등 정산이 완료되는 대로 반환한다.,deposit_return,caution,seed,59
44,하자 여부 확인을 위해 보증금 중 50만원은 퇴거 후 1주일 이내에 정산하여 반환한다.,deposit_return,caution,seed,60
45,"임대인의 자금 사정에 따라 보증금 반환이 지연될 수 있으며, 임차인은 이에 대해 이의를 제기하지 않는다.",deposit_return,danger,seed,62
46,보증금에서 공제할 항목과 금액은 임대인이 정하는 바에 따른다.,deposit_return,danger,seed,63
47,보증금 반환 시 신규 임차인의 보증금이 낮아진 경우 그 차액을 공제하고 반환한다.,deposit_return,danger,seed,64
48,"옵션으로 제공된 에어컨, 세탁기, 냉장고의 수리 비용은 임차인이 부담한다.",repair_defect,danger,seed,66
49,10만원 이하의 소액 수리는 임차인이 부담한다.,repair_defect,caution,seed,67
50,겨울철 보일러 및 수도 동파 시 수리 비용은 임차인이 부담한다.,repair_defect,caution,seed,68
51,퇴거 시 임차인은 주택을 원상복구하여 반환한다.,restoration,caution,seed,70
52,임차인은 퇴거 시 입주 당시의 상태로 주택을 반환한다.,restoration,caution,seed,71
53,못 박기 등 벽면 훼손이 있는 경우 임차인은 원상복구 비용을 부담한다.,restoration,caution,seed,72
54,퇴거 시 도배 상태가 불량한 경우 도배 비용은 임차인이 부담한다.,restoration,caution,seed,73
55,원상복구의 범위와 비용은 퇴거 시 임대인의 판단에 따른다.,restoration,danger,seed,74
56,중도 해지 시 임차인은 새로운 임차인이 입주할 때까지의 월세를 부담한다.,termination_renewal,danger,seed,76
57,계약 만료 3개월 전까지 갱신 의사를 통보하지 않으면 계약은 만료일에 종료된 것으로 본다.,termination_renewal,danger,seed,77
58,재계약 시 차임은 주변 시세를 반영하여 인상할 수 있다.,termination_renewal,caution,seed,78
59,임차인이 중도 퇴거하는 경우 위약금으로 월세 1개월분을 지급한다.,termination_renewal,caution,seed,79
60,본 주택에는 채권최고액 1억2천만원의 근저당권이 설정되어 있음을 임차인이 확인한다.,lien_rights,caution,seed,80
61,현재 등기부등본상의 권리관계는 임차인이 열람하여 확인하였다.,lien_rights,safe,seed,82
62,임차인은 현재 및 장래의 등기부상 권리관계에 대하여 이의를 제기하지 않는다.,lien_rights,danger,seed,85
63,임대인이 본 주택을 담보로 추가 대출을 받는 것에 임차인은 동의한다.,lien_rights,danger,seed,86
64,"전기, 가스, 수도 요금은 임차인이 사용량에 따라 각 공급 기관에 직접 납부한다.",fees_utilities,safe,seed,88
65,관리비는 월 8만원으로 하되 공용 전기료 사용량에 따라 변동될 수 있다.,fees_utilities,caution,seed,90
66,수도요금은 건물 전체 사용량을 세대수로 나누어 부과한다.,fees_utilities,caution,seed,91
67,관리비는 건물 관리 상황에 따라 임대인이 조정할 수 있다.,fees_utilities,danger,seed,93
68,장기수선충당금은 임차인이 부담하며 퇴거 시 반환하지 않는다.,fees_utilities,danger,seed,94
69,임차인은 임대인의 사전 동의 없이 시설물을 변경할 수 없다.,etc,safe,seed,96
70,임대인은 필요한 경우 사전 통보 후 주택을 방문하여 상태를 확인할 수 있다.,etc,caution,seed,97
71,본 계약과 관련한 분쟁은 임대인 주소지 관할 법원에서 해결한다.,etc,caution,seed,98
72,임차인은 벽면에 못을 박거나 타공을 할 수 없다.,etc,caution,seed,99
73,반려동물 사육이 적발되는 경우 계약은 즉시 해지되며 임차인은 지체 없이 퇴거한다.,termination_renewal,danger,seed,100
74,본 계약서에 명시되지 않은 사항은 임대인이 정하는 바에 따른다.,etc,danger,seed,101
75,임차인은 임차권등기명령을 신청하지 않기로 한다.,lien_rights,danger,seed,102
76,임대인은 계약 종료일에 보증금 전액을 임차인이 지정한 계좌로 반환한다.,deposit_return,safe,seed,103
77,보증금 반환이 지연되는 경우 임대인은 지연 기간에 대하여 연 5%의 이자를 가산하여 지급한다.,deposit_return,safe,seed,104
78,보증금은 계약 종료 후 1개월 이내에 반환한다.,deposit_return,caution,seed,107
79,임대인은 특별한 사정이 없는 한 계약 만료일에 보증금을 반환한다.,deposit_return,caution,seed,108
80,임차인의 원상복구 불이행 시 임대인은 보증금 전액을 몰취할 수 있다.,deposit_return,danger,seed,111
81,입주 전 발견된 하자는 임대인이 잔금일 전까지 수리를 완료한다.,repair_defect,safe,seed,113
82,보일러 고장 시 임대인은 통지받은 날로부터 3일 이내에 수리한다.,repair_defect,safe,seed,114
83,에어컨 필터 청소 및 배수구 관리 등 일상적인 유지 관리는 임차인이 한다.,repair_defect,safe,seed,115
84,"20만원 미만의 수리는 임차인이 부담하되, 반복 발생 시 임대인과 협의한다.",repair_defect,caution,seed,117
85,입주 후 발견되는 모든 하자는 임차인이 수리하며 임대인에게 청구할 수 없다.,repair_defect,danger,seed,119
86,임차인은 고의 또는 중대한 과실로 파손한 부분에 한하여 원상복구 책임을 진다.,restoration,safe,seed,121
87,"입주 시 임대인과 임차인은 주택 상태를 사진으로 함께 기록하고, 퇴거 시 이를 원상복구 판단 기준으로 삼는다.",restoration,safe,seed,123
88,임차인은 퇴거 시 전문 청소업체를 통한 입주청소 상태로 주택을 반환한다.,restoration,danger,seed,124
89,원상복구 비용은 임대인이 지정하는 업체의 견적에 따르며 임차인은 이의를 제기할 수 없다.,restoration,danger,seed,128
90,임차인은 퇴거 시 원상복구 명목으로 보증금의 5%를 공제하는 데 동의한다.,restoration,danger,seed,129
91,임차인의 사정으로 계약 기간 중 퇴거하는 경우 다음 임차인 중개보수와 도배 비용을 부담한다.,termination_renewal,caution,seed,130
92,계약 해지 통보는 내용증명 우편으로만 효력이 있다.,termination_renewal,caution,seed,131
93,재계약 여부는 계약 만료 2개월 전 임대인의 통보에 따른다.,termination_renewal,danger,seed,132
94,임대인이 주택을 매도하는 경우 임차인은 계약 기간 중이라도 3개월 내에 퇴거한다.,termination_renewal,danger,seed,133
95,임차인이 계약 조건을 위반하는 경우 임대인은 통보 없이 즉시 계약을 해지할 수 있다.,termination_renewal,danger,seed,134
96,임대인은 계약 체결일 현재 국세·지방세 완납증명서를 임차인에게 제시한다.,lien_rights,safe,seed,136
97,임대인은 임차인이 대항력을 갖추기 전까지 제3자에게 주택을 양도하거나 담보를 제공하지 않는다.,lien_rights,safe,seed,137
98,임대인은 기존 근저당권의 이자를 성실히 납부하기로 한다.,lien_rights,caution,seed,139
99,임차인의 보증보험 가입이 거절되는 경우 쌍방 협의하여 계약 유지 여부를 정한다.,deposit_return,caution,seed,140
100,임차인은 임대인의 세금 체납 여부를 확인하지 않기로 하며 이후 이를 문제 삼지 않는다.,lien_rights,danger,seed,141
101,본 계약은 등기부상 권리 하자가 발견되더라도 유효하게 존속한다.,lien_rights,danger,seed,142
102,공과금은 각 세대 계량기 검침에 따라 임차인이 실사용량만큼 부담한다.,fees_utilities,safe,seed,145
103,관리비에는 공용 관리 항목이 포함되며 세부 내역은 건물 관리 규정에 따른다.,fees_utilities,caution,seed,147
104,인터넷 및 케이블 요금은 건물 일괄 계약에 따라 임차인이 부담한다.,fees_utilities,caution,seed,148
105,퇴거 시 정화조 청소비 명목으로 3만원을 정산한다.,fees_utilities,safe,seed,149
106,관리비 미납 시 임대인은 단전·단수 조치를 할 수 있다.,fees_utilities,danger,seed,151
107,관리비 항목과 금액은 임대인이 매년 정하여 고지하는 바에 따른다.,fees_utilities,danger,seed,152
108,"기타 본 계약서에 정하지 않은 사항은 주택임대차보호법 및 민법, 부동산 관례에 따른다.",etc,safe,seed,154
109,임차인은 임대인의 동의 없이 제3자를 동거인으로 둘 수 없다.,etc,caution,seed,156
110,임차인은 본 계약과 관련하여 여하한 민형사상 이의를 제기하지 않는다.,etc,danger,seed,159
111,계약 위반 시 임차인은 임대인이 정한 손해배상액을 이의 없이 지급한다.,etc,danger,seed,160
112,임차인은 주택임대차분쟁조정위원회 등 외부 기관에 분쟁 조정을 신청하지 않기로 한다.,etc,danger,seed,161
113,임대인(갑)은 임대차 종료와 동시에 임차인(을)에게 보증금 전액을 반환하기로 한다.,deposit_return,safe,seed,162
114,보증금 반환과 주택 인도는 동시에 이행한다.,deposit_return,safe,seed,163
115,보증금 중 100만원은 하자 점검 완료 시까지 유보할 수 있다.,deposit_return,caution,seed,164
116,퇴거 정산 시 도시가스 철거비 등 제반 비용을 보증금에서 공제할 수 있다.,deposit_return,danger,seed,165
117,임대인의 사정으로 보증금 반환이 지연되어도 지연 이자는 발생하지 않는 것으로 한다.,deposit_return,danger,seed,167
118,보증금 반환 시기는 임대인의 자금 사정을 고려하여 임대인이 정한다.,deposit_return,danger,seed,168
119,"전기, 수도, 보일러 등 주요 설비의 노후로 인한 고장 수리는 임대인(갑)의 부담으로 한다.",repair_defect,safe,seed,170
120,잔고장 수리는 임차인이 부담한다.,repair_defect,caution,seed,172
121,"세면대, 변기 막힘은 사용상 과실로 보아 임차인이 수리한다.",repair_defect,caution,seed,173
122,수리 시 임차인은 임대인이 지정한 업체를 이용한다.,repair_defect,caution,seed,174
123,에어컨 냉매 충전 비용은 임차인이 부담한다.,repair_defect,caution,seed,175
124,누수 발생 시에도 임대인은 수리 의무를 지지 않으며 임차인이 자비로 처리한다.,repair_defect,danger,seed,176
125,시설물 고장에 대한 임대인의 하자담보책임을 묻지 않기로 한다.,repair_defect,danger,seed,177
126,"수리 요청은 임대인의 승인이 있는 경우에만 가능하며, 승인 없이 한 수리는 임차인 부담으로 한다.",repair_defect,danger,seed,178
127,"원상복구는 임차인의 고의·과실로 인한 훼손에 한하며, 세부 기준은 입주 시 작성한 상태 점검표에 따른다.",restoration,safe,seed,179
128,퇴거 시 임차인은 입주 시 교부받은 시설물 목록대로 반환한다.,restoration,caution,seed,181
129,퇴거 청소 상태가 미흡한 경우 청소비를 보증금에서 공제한다.,restoration,caution,seed,184
130,원상복구 비용으로 보증금에서 일률적으로 100만원을 공제한다.,restoration,danger,seed,187
131,흡연 여부와 관계없이 퇴거 시 전체 도배 비용은 임차인이 부담한다.,restoration,danger,seed,188
132,계약 만료 전이라도 쌍방이 합의하는 경우 계약을 해지할 수 있다.,termination_renewal,safe,seed,189
133,갱신 계약은 임대인의 서면 동의로 확정된다.,termination_renewal,caution,seed,191
134,임차인은 퇴거 예정일 3개월 전까지 임대인에게 통지한다.,termination_renewal,caution,seed,192
135,재계약 시 보증금은 전세 시세에 맞추어 조정한다.,termination_renewal,caution,seed,193
136,임대인은 계약 만료 1개월 전까지 갱신 조건을 임차인에게 통지한다.,termination_renewal,caution,seed,194
137,본 건물에는 선순위 임차인 2세대가 있음을 고지한다.,lien_rights,caution,seed,197
138,임대인의 대출 상환 계획은 구두로 안내한 바에 따른다.,lien_rights,caution,seed,198
139,전입신고는 잔금일 다음 주까지 완료하기로 한다.,lien_rights,danger,seed,199
140,임대인은 임차인의 전세권 설정 요구에 대해 추후 협의할 수 있다.,lien_rights,caution,seed,200
141,계약 후 등기 변동 사항은 임차인이 확인할 책임이 있다.,lien_rights,caution,seed,201
142,임대인이 주택을 매도하는 경우 새로운 소유자에 대한 임차권 주장은 임차인의 책임으로 한다.,lien_rights,danger,seed,204
143,확정일자 및 전세권 설정 등 보증금 보전 조치는 하지 않기로 상호 합의한다.,lien_rights,danger,seed,205
144,관리비는 입주 세대수 변동에 따라 재산정될 수 있다.,fees_utilities,caution,seed,207
145,겨울철 난방비는 건물 전체 사용량 기준으로 배분한다.,fees_utilities,caution,seed,208
146,관리비 연체 시 월 5%의 연체료를 부과한다.,fees_utilities,danger,seed,210
147,임대인은 관리비 인상 내역을 소명할 의무가 없다.,fees_utilities,danger,seed,211
148,건물 엘리베이터 교체 분담금은 임차인이 부담한다.,fees_utilities,danger,seed,212
149,관리비 미납 시 임대인은 임차인의 짐을 임의로 반출할 수 있다.,fees_utilities,danger,seed,213
150,임차인은 주민등록상 실거주 목적으로 본 주택을 사용한다.,etc,safe,seed,214
151,임차인은 임대인의 동의 없이 도어락을 교체할 수 없다.,etc,caution,seed,216
152,임차인의 차량은 1대에 한하여 등록할 수 있으며 추가 등록은 임대인 재량으로 한다.,etc,caution,seed,217
153,게시판 부착물 등 건물 규약은 임대인이 정하는 바에 따른다.,etc,caution,seed,218
154,임차인은 계약 기간 중 발생하는 모든 민원 및 법적 분쟁 비용을 부담한다.,etc,danger,seed,219
155,본 특약이 법령과 상충하는 경우에도 특약이 우선한다.,etc,danger,seed,220
156,퇴거 시 임차인은 임대인이 청구하는 일체의 비용을 정산 후 이의를 제기하지 않는다.,etc,danger,seed,222
157,"형광등, 수도꼭지 등의 교체는 임차인이 하되 노후로 인한 경우에는 임대인과 협의한다.",repair_defect,caution,seed,223
158,근저당권 말소는 임대인의 매매 잔금 수령 일정에 따라 순차 진행하기로 한다.,lien_rights,caution,seed,225
159,관리비 항목은 입주 후 관리사무소 안내에 따른다.,fees_utilities,caution,seed,226
160,임차인은 공용 옥상 및 창고를 임대인 허가 하에 사용할 수 있다.,etc,caution,seed,227
229,"임대차가 끝나면 임차인은 주택을 원래 상태로 되돌려 임대인에게 넘겨주고, 임대인은 이와 동시에 보증금을 돌려주어야 한다.",deposit_return,safe,augmented,a001
230,전세자금 대출이 부결될 경우 임대인은 계약금 전액을 임차인에게 돌려준다.,deposit_return,safe,augmented,a003
231,은행의 전세자금 대출이 승인되지 않는 경우 계약금은 전부 반환하기로 한다.,deposit_return,safe,augmented,a004
232,임차인이 짐을 모두 빼고 시설 상태를 확인한 뒤 3일 안에 보증금을 돌려준다.,deposit_return,caution,augmented,a005
233,보증금은 계약이 끝난 날로부터 한 달 안에 반환하기로 한다.,deposit_return,caution,augmented,a006
234,보증금 공제 항목 및 그 금액의 결정은 임대인의 판단에 따르기로 한다.,deposit_return,danger,augmented,a007
235,임대인의 자금 사정에 의한 보증금 반환 지연에 대하여 임차인은 일체의 이의를 제기하지 아니한다.,deposit_return,danger,augmented,a008
236,"보일러, 상하수도, 전기 설비 등 주요 시설의 노후나 불량에 따른 수선 비용은 임대인이 부담하기로 한다.",repair_defect,safe,augmented,a009
237,"전구, 커튼봉과 같은 생활 소모품을 교체하는 비용은 세입자가 낸다.",repair_defect,safe,augmented,a010
238,10만원을 넘지 않는 소액 수리는 임차인 부담으로 처리한다.,repair_defect,caution,augmented,a011
239,자잘한 고장의 수리는 세입자 부담으로 한다.,repair_defect,caution,augmented,a012
240,건물 내 일체의 시설물 유지·보수 책임은 임차인이 진다.,repair_defect,danger,augmented,a013
241,"입주 이후 발견되는 하자는 모두 임차인이 수리하기로 하며, 임대인에게 비용을 청구할 수 없다.",repair_defect,danger,augmented,a014
242,시설의 노후나 통상적으로 생길 수 있는 파손은 원상복구 의무에서 제외된다.,restoration,safe,augmented,a015
243,원상복구 책임은 임차인이 고의 또는 중대한 과실로 파손한 부분에 한정한다.,restoration,safe,augmented,a016
244,임차인은 퇴거할 때 주택을 원상복구해서 돌려준다.,restoration,caution,augmented,a017
245,퇴실 청소 상태가 미흡하다고 판단되면 청소 비용을 보증금에서 제한다.,restoration,caution,augmented,a018
246,퇴거할 때 도배와 장판을 전부 새것으로 바꿔서 입주 당시 상태 그대로 만들어 놓는다.,restoration,danger,augmented,a019
247,원상복구 공사는 임대인이 지정한 업체 견적대로 진행하며 임차인은 이의할 수 없다.,restoration,danger,augmented,a020
248,임차인이 차임을 2회분 이상 연체하거나 무단 구조변경·전대를 한 때에는 임대인이 계약을 해지할 수 있다.,termination_renewal,safe,augmented,a021
249,월세가 두 달치 밀린 경우에 한해 집주인은 계약을 해지할 수 있다.,termination_renewal,safe,augmented,a022
250,중도 해지하는 경우 새로운 세입자가 들어올 때까지의 월세는 임차인이 낸다.,termination_renewal,danger,augmented,a023
251,계약 기간 중 임차인이 나가는 경우 월세 한 달치를 위약금으로 낸다.,termination_renewal,caution,augmented,a024
252,임차인 사정으로 중도 퇴거 시 다음 세입자 중개수수료와 도배비는 임차인 부담으로 한다.,termination_renewal,caution,augmented,a025
253,임차인의 계약 위반이 있으면 임대인은 별도 통보 없이 곧바로 계약을 해지할 수 있다.,termination_renewal,danger,augmented,a026
254,"잔금을 치른 다음 날까지 임대인은 저당권, 전세권 등 새로운 권리를 설정하지 아니한다.",lien_rights,safe,augmented,a027
255,임대인은 잔금 수령과 동시에 이 부동산의 대출금을 모두 갚고 근저당권 등기를 말소하기로 한다.,lien_rights,safe,augmented,a028
256,이 주택에 채권최고액 1억 2천만원의 근저당이 설정된 사실을 임차인은 확인했다.,lien_rights,caution,augmented,a029
257,본 건물에 선순위 세입자 두 가구가 있음을 고지한다.,lien_rights,caution,augmented,a030
258,임차인은 이 집에 주민등록 이전(전입신고)을 하지 않기로 약정한다.,lien_rights,danger,augmented,a031
259,임대인이 이 주택을 담보로 대출을 추가로 받는 것에 대하여 임차인은 이의 없이 동의한다.,lien_rights,danger,augmented,a032
260,관리비는 매월 10만원이며 인터넷·유선방송·수도요금이 포함된다. 전기와 가스는 임차인이 따로 낸다.,fees_utilities,safe,augmented,a033
261,전기·가스·수도 요금은 사용한 만큼 임차인이 각 공급사에 직접 납부하기로 한다.,fees_utilities,safe,augmented,a034
262,관리비는 별도.,fees_utilities,caution,augmented,a035
263,수도 요금은 건물 전체 요금을 세대 수로 나눠서 부과하기로 한다.,fees_utilities,caution,augmented,a036
264,관리비는 건물 관리 사정에 따라 임대인이 변경할 수 있다.,fees_utilities,danger,augmented,a037
265,관리비를 연체하면 임대인은 전기와 수도를 끊을 수 있다.,fees_utilities,danger,augmented,a038
266,"임차인은 임대인 동의 없이는 집 구조를 바꾸거나 다른 사람에게 다시 세를 놓을 수 없고, 주거 외 용도로 사용할 수 없다.",etc,safe,augmented,a039
267,본 계약에 관한 분쟁이 생기면 당사자 간 협의나 주택임대차분쟁조정위원회 조정으로 원만히 해결하도록 노력한다.,etc,safe,augmented,a040
268,임대인의 사전 동의가 없는 한 임차인은 시설물을 변경하지 못한다.,etc,safe,augmented,a041
269,임차인은 벽에 못질이나 구멍 뚫기를 할 수 없다.,etc,caution,augmented,a042
270,임대인이 요구하면 임차인은 제소전화해 절차에 협조해야 하며 관련 비용도 임차인이 낸다.,etc,danger,augmented,a043
271,임차인은 임차권등기명령 신청을 하지 않을 것을 확약한다.,lien_rights,danger,augmented,a044
272,퇴거 정산 때 도시가스 철거비를 비롯한 각종 비용을 보증금에서 뺄 수 있다.,deposit_return,danger,augmented,a045
273,만기 3개월 전까지 갱신 의사를 알리지 않으면 계약은 만료일에 자동 종료되는 것으로 간주한다.,termination_renewal,danger,augmented,a046
274,임차인은 임대인의 국세·지방세 체납 여부를 확인하지 않으며 추후 이를 문제 삼지 않기로 한다.,lien_rights,danger,augmented,a047
275,퇴거할 때 전문 업체 수준으로 직접 청소하거나 청소비 10만원을 내기로 한다.,restoration,caution,augmented,a048
276,반려동물을 기르다 적발되면 계약은 바로 해지되고 임차인은 즉시 집을 비운다.,termination_renewal,danger,augmented,a049
277,"형광등이나 수도꼭지 같은 부속품 교체는 임차인이 하고, 노후 때문이면 임대인과 협의하기로 한다.",repair_defect,caution,augmented,a050
278,"임대인은 주택을 계약 목적에 맞게 사용할 수 있는 상태로 넘겨주며, 임대차 기간은 인도일부터 2년간으로 정한다.",termination_renewal,safe,augmented,a051
279,입주 전에 수리가 필요한 시설과 그 비용을 누가 부담할지 쌍방이 협의하여 정한다.,repair_defect,safe,augmented,a052
280,계약 기간 동안 집주인은 주택을 정상적으로 사용할 수 있는 상태로 유지할 의무가 있다.,repair_defect,safe,augmented,a053
281,임대인이 부담해야 할 수리비를 임차인이 대신 지출한 경우 그 금액의 상환을 임대인에게 청구할 수 있다.,repair_defect,safe,augmented,a054
282,"중도금(없으면 잔금) 지급 전까지는 임대인은 계약금의 두 배를 물어주고, 임차인은 계약금을 포기하는 방식으로 계약을 해제할 수 있다.",termination_renewal,safe,augmented,a055
283,임차인의 잘못 없이 주택 일부가 멸실되는 등 계약 목적대로 사용할 수 없게 되면 임차인은 계약을 해지할 수 있다.,termination_renewal,safe,augmented,a056
284,임대인은 본인 또는 직계 가족의 실거주 등 주택임대차보호법이 정한 사유가 있을 때에만 갱신 요구를 거절할 수 있다.,termination_renewal,safe,augmented,a057
285,계약이 끝날 때 임차인은 공과금과 관리비를 정산한다.,fees_utilities,safe,augmented,a058
286,임차인이 관리비에 포함해 납부한 장기수선충당금은 임대인에게 돌려달라고 청구할 수 있다.,fees_utilities,safe,augmented,a059
287,중개보수는 정해진 요율에 따라 임대인과 임차인이 각자 부담하기로 한다.,etc,safe,augmented,a060
288,임대차 분쟁이 생기면 소송에 앞서 주택임대차분쟁조정위원회에 조정을 신청하기로 한다.,etc,safe,augmented,a061
289,임대인은 전세보증금 반환보증 가입에 필요한 서류 제출 등 절차에 성실히 협조한다.,deposit_return,safe,augmented,a062
290,잔금일 전에는 임대인이 이 주택의 소유권을 제3자에게 이전하지 않는다.,lien_rights,safe,augmented,a063
291,임대 기간 중 집을 팔 계획이 생기면 임대인은 임차인에게 미리 알려준다.,lien_rights,safe,augmented,a064
292,"잔금일 다음 날까지 계약 당시의 등기상 권리관계를 그대로 유지하며, 위반 시 이 계약은 무효로 한다.",lien_rights,safe,augmented,a065
293,계약 후 알리지 않은 근저당이 확인되면 임차인은 계약을 해지하고 지급한 금액을 즉시 돌려받을 수 있다.,lien_rights,safe,augmented,a066
294,임대인이 통상의 사용에 따른 손모가 아님을 입증하지 못하는 한 임차인은 원상회복 의무를 지지 않는다.,restoration,safe,augmented,a067
295,2년 이상 거주한 임차인은 도배와 장판의 원상회복 의무를 지지 않는다.,restoration,safe,augmented,a068
296,재계약 때 차임은 주변 시세를 참고해 쌍방 협의로 조정하기로 한다.,termination_renewal,safe,augmented,a069
297,월세를 한 번이라도 밀리면 계약은 곧바로 해지되고 임차인은 즉시 집을 비워야 한다.,termination_renewal,danger,augmented,a070
298,퇴거 시 원상복구 비용 명목으로 금 200만원을 임대인에게 지급하기로 한다.,restoration,danger,augmented,a071
299,계약을 갱신할 때마다 월세는 10퍼센트씩 자동으로 오른다.,termination_renewal,danger,augmented,a072
300,이 주택의 유지 및 관리 책임은 전적으로 세입자에게 있다.,repair_defect,danger,augmented,a073
